date,MOM
194012,0.0354
194101,-0.044000000000000004
194102,0.0104
194103,0.024700000000000003
194104,0.0305
194105,0.0252
194106,-0.0077
194107,-0.015600000000000001
194108,0.0018
194109,-0.0159
194110,0.049
194111,0.0441
194112,0.004
194201,-0.0382
194202,-0.0072
194203,-0.0026
194204,-0.0083
194205,-0.0478
194206,-0.013600000000000001
194207,0.0079
194208,0.0002
194209,-0.0089
194210,-0.0431
194211,-0.010700000000000001
194212,0.0318
194301,-0.003
194302,-0.0163
194303,0.0472
194304,0.058600000000000006
194305,0.059000000000000004
194306,-0.0132
194307,-0.0451
194308,0.009000000000000001
194309,0.0173
194310,-0.0069
194311,-0.0447
194312,0.0594
194401,0.0075
194402,0.0034000000000000002
194403,0.026099999999999998
194404,0.0051
194405,0.019
194406,-0.0552
194407,0.0014000000000000002
194408,0.0475
194409,-0.0131
194410,-0.0132
194411,0.013600000000000001
194412,0.0331
194501,0.0003
194502,0.032
194503,-0.030699999999999998
194504,0.0471
194505,0.0015
194506,0.0414
194507,-0.0268
194508,-0.013000000000000001
194509,0.0137
194510,0.0017000000000000001
194511,0.0431
194512,0.0123
194601,0.0377
194602,-0.0143
194603,0.027000000000000003
194604,0.0304
194605,-0.0053
194606,-0.025099999999999997
194607,0.0022
194608,-0.0005
194609,0.006999999999999999
194610,0.0091
194611,0.0028000000000000004
194612,0.0009
194701,-0.0632
194702,-0.005
194703,0.040999999999999995
194704,0.0541
194705,0.0337
194706,-0.0184
194707,-0.0338
194708,0.034
194709,0.001
194710,0.015600000000000001
194711,0.0426
194712,0.0364
194801,-0.04190000000000001
194802,0.0141
194803,-0.0025
194804,0.0416
194805,0.0233
194806,0.0397
194807,-0.016
194808,0.002
194809,-0.013600000000000001
194810,0.0273
194811,0.0058
194812,0.0466
194901,-0.0292
194902,-0.0043
194903,-0.0079
194904,0.0313
194905,0.030600000000000002
194906,-0.0129
194907,-0.0147
194908,0.0158
194909,-0.013999999999999999
194910,0.0002
194911,0.0125
194912,-0.008199999999999999
195001,-0.0236
195002,0.0137
195003,0.0147
195004,0.0026
195005,0.0036
195006,-0.0159
195007,-0.0051
195008,0.032400000000000005
195009,-0.0018
195010,0.0151
195011,0.0352
195012,0.049400000000000006
195101,0.0232
195102,-0.0195
195103,-0.029300000000000003
195104,0.059800000000000006
195105,-0.0096
195106,-0.0245
195107,0.0718
195108,0.0066
195109,0.0059
195110,-0.0021
195111,0.004699999999999999
195112,0.0175
195201,0.0137
195202,-0.0068000000000000005
195203,0.0165
195204,-0.020099999999999996
195205,0.005600000000000001
195206,0.0149
195207,-0.0055000000000000005
195208,0.0034000000000000002
195209,0.0173
195210,0.0273
195211,0.0036
195212,0.0154
195301,0.0074
195302,0.008
195303,0.0014000000000000002
195304,0.0184
195305,0.0091
195306,0.0
195307,-0.0037
195308,0.0212
195309,0.028999999999999998
195310,0.0025
195311,0.0196
195312,0.0521
195401,-0.0584
195402,0.0104
195403,0.0213
195404,0.0508
195405,-0.0202
195406,0.0355
195407,0.0043
195408,-0.0067
195409,0.0166
195410,0.0092
195411,0.0187
195412,-0.013999999999999999
195501,0.0147
195502,0.0104
195503,0.0096
195504,-0.0001
195505,0.0060999999999999995
195506,0.0472
195507,-0.012199999999999999
195508,0.0176
195509,0.0183
195510,-0.0052
195511,0.025699999999999997
195512,-0.013000000000000001
195601,-0.0148
195602,0.020099999999999996
195603,0.0352
195604,0.026699999999999998
195605,-0.016
195606,0.026699999999999998
195607,0.0253
195608,-0.0070999999999999995
195609,-0.0076
195610,0.024
195611,0.0342
195612,0.0379
195701,-0.030600000000000002
195702,0.0036
195703,-0.0027
195704,0.0098
195705,0.0017000000000000001
195706,0.0069
195707,-0.0003
195708,0.0046
195709,0.006
195710,0.0202
195711,0.0129
195712,0.0781
195801,-0.07719999999999999
195802,0.037200000000000004
195803,-0.0165
195804,0.019
195805,-0.0174
195806,-0.0089
195807,-0.0356
195808,0.0014000000000000002
195809,-0.0113
195810,0.0313
195811,0.015300000000000001
195812,-0.0070999999999999995
195901,-0.0029
195902,0.034
195903,0.0022
195904,0.0316
195905,0.015
195906,0.031400000000000004
195907,-0.0034999999999999996
195908,-0.01
195909,0.0078000000000000005
195910,0.034300000000000004
195911,0.0229
195912,0.0103
196001,-0.0351
196002,0.04
196003,0.0141
196004,0.028399999999999998
196005,0.0479
196006,0.0089
196007,-0.006999999999999999
196008,0.0151
196009,0.0038
196010,0.0126
196011,0.0364
196012,0.013600000000000001
196101,-0.0412
196102,0.009899999999999999
196103,0.0432
196104,0.0362
196105,-0.015700000000000002
196106,0.003
196107,0.0022
196108,0.016399999999999998
196109,0.0079
196110,0.030699999999999998
196111,0.0134
196112,-0.0218
196201,-0.0204
196202,-0.01
196203,0.0189
196204,0.0294
196205,0.0046
196206,0.064
196207,0.0051
196208,-0.005699999999999999
196209,0.039599999999999996
196210,0.0079
196211,-0.0719
196212,0.059000000000000004
196301,-0.0213
196302,0.0252
196303,0.0158
196304,-0.001
196305,0.0029
196306,0.0116
196307,0.0101
196308,0.01
196309,0.0012
196310,0.0313
196311,-0.0078000000000000005
196312,0.0184
196401,0.0102
196402,0.0033
196403,0.0069
196404,-0.0064
196405,0.0253
196406,0.004699999999999999
196407,-0.0038
196408,-0.0025
196409,-0.0039000000000000003
196410,0.0019
196411,0.011000000000000001
196412,-0.0069
196501,-0.0138
196502,0.0024
196503,0.0017000000000000001
196504,0.0253
196505,0.0055000000000000005
196506,-0.0318
196507,0.0409
196508,0.0258
196509,0.0329
196510,0.0345
196511,0.044000000000000004
196512,-0.001
196601,0.0528
196602,0.0458
196603,0.0147
196604,0.0588
196605,-0.0471
196606,0.0323
196607,-0.013000000000000001
196608,-0.022099999999999998
196609,-0.018600000000000002
196610,-0.052000000000000005
196611,0.057300000000000004
196612,0.009899999999999999
196701,-0.07
196702,0.0351
196703,0.0139
196704,0.0052
196705,0.0066
196706,0.0601
196707,-0.011000000000000001
196708,-0.0132
196709,0.0239
196710,0.0368
196711,0.012199999999999999
196712,0.032
196801,-0.0446
196802,-0.0334
196803,0.0319
196804,0.051100000000000007
196805,0.0375
196806,-0.0209
196807,-0.0089
196808,0.019
196809,-0.0064
196810,-0.0146
196811,0.0174
196812,0.0032
196901,-0.0015
196902,-0.0255
196903,0.0406
196904,0.0124
196905,0.0181
196906,-0.0231
196907,0.0182
196908,0.021400000000000002
196909,0.024300000000000002
196910,-0.0436
196911,0.036699999999999997
196912,0.0527
197001,0.005600000000000001
197002,0.0027
197003,-0.0036
197004,-0.0083
197005,-0.026600000000000002
197006,0.0564
197007,-0.031200000000000002
197008,-0.0668
197009,-0.0864
197010,0.09449999999999999
197011,0.0259
197012,-0.023
197101,-0.06860000000000001
197102,0.008199999999999999
197103,-0.013999999999999999
197104,0.013600000000000001
197105,0.009300000000000001
197106,0.0269
197107,-0.0232
197108,0.0344
197109,0.021
197110,0.005
197111,0.0151
197112,-0.0062
197201,0.0007000000000000001
197202,0.0253
197203,0.0294
197204,0.0279
197205,0.0333
197206,0.019
197207,0.0268
197208,-0.0536
197209,0.0183
197210,0.006999999999999999
197211,-0.0508
197212,0.0495
197301,0.038
197302,0.0222
197303,0.0355
197304,0.0635
197305,0.0719
197306,0.0433
197307,-0.1167
197308,0.0359
197309,-0.0698
197310,0.0678
197311,0.08929999999999999
197312,0.1016
197401,-0.0892
197402,0.0037
197403,-0.01
197404,0.0206
197405,-0.0029
197406,0.0232
197407,0.03
197408,0.030299999999999997
197409,0.0424
197410,-0.0053
197411,0.022000000000000002
197412,0.0298
197501,-0.138
197502,-0.0058
197503,-0.0207
197504,0.0151
197505,-0.0058
197506,-0.0004
197507,0.0034000000000000002
197508,-0.0016
197509,0.004
197510,-0.0022
197511,-0.005
197512,-0.001
197601,0.0437
197602,0.0038
197603,0.0022
197604,0.0053
197605,-0.010700000000000001
197606,-0.0044
197607,-0.0015
197608,-0.0078000000000000005
197609,0.002
197610,-0.0043
197611,0.0282
197612,0.0073
197701,0.0405
197702,0.0034000000000000002
197703,0.0068000000000000005
197704,0.04190000000000001
197705,0.020099999999999996
197706,0.016
197707,0.0038
197708,-0.0163
197709,0.021
197710,-0.0012
197711,0.021400000000000002
197712,0.0159
197801,-0.0058
197802,0.0196
197803,0.014499999999999999
197804,0.0049
197805,0.0277
197806,0.0278
197807,0.04190000000000001
197808,0.03
197809,-0.032
197810,-0.0842
197811,0.0545
197812,0.0301
197901,-0.0143
197902,-0.009899999999999999
197903,0.0291
197904,0.0087
197905,-0.0055000000000000005
197906,0.0077
197907,-0.010700000000000001
197908,-0.0029
197909,0.0528
197910,0.0204
197911,0.0803
197912,0.0472
198001,0.0745
198002,0.0789
198003,-0.0958
198004,-0.0048
198005,-0.0118
198006,0.0158
198007,0.0029
198008,0.030600000000000002
198009,0.054299999999999994
198010,0.0713
198011,0.1515
198012,-0.06709999999999999
198101,-0.0782
198102,-0.013500000000000002
198103,0.008199999999999999
198104,-0.0108
198105,0.0356
198106,-0.0567
198107,-0.024399999999999998
198108,-0.011000000000000001
198109,0.0213
198110,0.0383
198111,-0.0021
198112,0.0128
198201,0.0177
198202,0.0487
198203,0.028999999999999998
198204,-0.0046
198205,0.025099999999999997
198206,0.0489
198207,0.044000000000000004
198208,-0.036000000000000004
198209,0.0414
198210,0.0001
198211,0.0592
198212,-0.0002
198301,-0.0163
198302,0.0369
198303,0.0088
198304,0.0163
198305,-0.0155
198306,0.0183
198307,-0.0308
198308,-0.0538
198309,-0.0001
198310,-0.0446
198311,-0.0014000000000000002
198312,0.008100000000000001
198401,-0.025699999999999997
198402,0.0045000000000000005
198403,0.0109
198404,0.021400000000000002
198405,0.0154
198406,-0.0053
198407,0.0277
198408,-0.0562
198409,0.0366
198410,0.032799999999999996
198411,0.015600000000000001
198412,0.0138
198501,-0.0682
198502,0.0191
198503,0.0178
198504,0.029500000000000002
198505,0.0405
198506,0.0337
198507,-0.0369
198508,0.0177
198509,0.016
198510,0.0487
198511,-0.0055000000000000005
198512,-0.0023
198601,0.029500000000000002
198602,0.0256
198603,0.023799999999999998
198604,-0.0034999999999999996
198605,0.0206
198606,0.049400000000000006
198607,0.0189
198608,-0.051699999999999996
198609,-0.056799999999999996
198610,0.044800000000000006
198611,-0.0027
198612,0.0045000000000000005
198701,0.0203
198702,-0.0222
198703,0.0166
198704,0.002
198705,-0.0077
198706,-0.0022
198707,0.025699999999999997
198708,-0.0095
198709,0.008
198710,-0.0775
198711,-0.0121
198712,0.0588
198801,-0.0735
198802,-0.014499999999999999
198803,0.0060999999999999995
198804,0.022000000000000002
198805,0.0066
198806,-0.0302
198807,0.0066
198808,0.0036
198809,0.0029
198810,0.013000000000000001
198811,0.0018
198812,0.0031
